allocine_id,titre,annee,acteur
4462,Les Tribulations de Balthasar Kober,2003,Rafal Wieczynski
52626,Kitchen stories,2003,Joachim Calmeyer
52626,Kitchen stories,2003,Thomas Norström
52626,Kitchen stories,2003,Bjørn Floberg
48130,L'Enfant au violon,2003,Yun Tang
48130,L'Enfant au violon,2003,Liu Peiqi
48130,L'Enfant au violon,2003,Hong Chen
50765,Station spatiale,2003,ce film on fait vraiment parti de l'équipage
50765,Station spatiale,2003,on s'y croirait. Et en plus ils sont marrants. Sinon les images de la Terre sont saisissantes. Beaucoup de plaisir à voir ce film.
52583,Un Coeur ailleurs,2003,Neri Marcorè
52583,Un Coeur ailleurs,2003,Giancarlo Giannini
52583,Un Coeur ailleurs,2003,Vanessa Incontrada
54151,L'Homme sans tête,2003,Hocine
54151,L'Homme sans tête,2003,Ambre Boukebza
54151,L'Homme sans tête,2003,Patrick Bethune
53461,Le Chef de gare,2003,John Slattery
53461,Le Chef de gare,2003,Peter Dinklage
53461,Le Chef de gare,2003,Patricia Clarkson
41325,Scary Movie 3,2003,Anna Faris
41325,Scary Movie 3,2003,Anthony Anderson
41325,Scary Movie 3,2003,Leslie Nielsen
44113,Ma vie sans moi,2003,Mark Ruffalo
44113,Ma vie sans moi,2003,Sarah Polley
44113,Ma vie sans moi,2003,Amanda Plummer
45664,Freaky Friday dans la peau de ma mère,2003,Jamie Lee Curtis
45664,Freaky Friday dans la peau de ma mère,2003,Lindsay Lohan
45664,Freaky Friday dans la peau de ma mère,2003,Mark Harmon
46552,Qui a tué Bambi ?,2003,Sophie Quinton
46552,Qui a tué Bambi ?,2003,Laurent Lucas
46552,Qui a tué Bambi ?,2003,Catherine Jacob
33869,Le Médaillon,2003,Jackie Chan
33869,Le Médaillon,2003,Claire Forlani
33869,Le Médaillon,2003,Lee Evans
34900,Les Lionceaux,2003,Dani
34900,Les Lionceaux,2003,Jacno
34900,Les Lionceaux,2003,Marie Félix
47490,Happy end,2003,Audrey Tautou
47490,Happy end,2003,Justin Theroux
47490,Happy end,2003,Jennifer Tilly
38561,25 Watts,2003,Daniel Hendler
38561,25 Watts,2003,Jorge Temponi
38561,25 Watts,2003,Alfonso Tort
